rabbitmq-3-1  | 2026-08-30 17:16:29.934472+00:00 [info] <0.2007.0>     rabbitmq_stream_common[0m
rabbitmq-3-1  | 2026-08-30 17:16:29.934472+00:00 [info] <0.2007.0> [0m
rabbitmq-3-1  | 2026-08-30 17:16:29.934667+00:00 [info] <0.2007.0> Stopping application 'rabbitmq_stream'[0m
rabbitmq-3-1  | 2026-08-30 17:16:29.935096+00:00 [info] <0.1334.0> stopped Stream TCP listener on [::]:5552[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 17:16:29.947766+00:00 [notice] <0.45.0> Application rabbitmq_stream exited with reason: stopped[0m
rabbitmq-3-1  | 2026-08-30 17:16:29.947907+00:00 [info] <0.2007.0> Stopping application 'rabbitmq_stream_common'[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 17:16:29.948328+00:00 [notice] <0.45.0> Application rabbitmq_stream_common exited with reason: stopped[0m
rabbitmq-3-1  | 2026-08-30 17:16:29.989528+00:00 [info] <0.2007.0> Plugins changed; disabled [rabbitmq_stream,rabbitmq_stream_common][0m
rabbitmq-3-1  | 2026-08-30 17:16:39.855287+00:00 [info] <0.2081.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 17:16:52.711898+00:00 [info] <0.2143.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 17:17:01.836039+00:00 [info] <0.2216.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 17:17:10.598554+00:00 [info] <0.2277.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 17:17:20.092337+00:00 [info] <0.2338.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 17:17:30.297409+00:00 [info] <0.2399.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 17:17:37.782633+00:00 [info] <0.2410.0> queue 'atlas.1788110255840602000.quorum' in vhost '/': granting vote for {'%2F_atlas.1788110255840602000.quorum','rabbit@rabbitmq-1'} with last {index, term} {0,0} for term 1 previous term was 0[0m
rabbitmq-3-1  | 2026-08-30 17:17:37.793177+00:00 [info] <0.2410.0> queue 'atlas.1788110255840602000.quorum' in vhost '/': detected a new leader {'%2F_atlas.1788110255840602000.quorum','rabbit@rabbitmq-1'} in term 1[0m
rabbitmq-3-1  | 2026-08-30 17:17:37.941934+00:00 [info] <0.2415.0> rabbit_stream_coordinator: started writer __atlas_1788110255840602000_stream_1788110257852430109 on 'rabbit@rabbitmq-1' in 1[0m
rabbitmq-3-1  | 2026-08-30 17:17:37.993656+00:00 [info] <0.2419.0> Stream: __atlas_1788110255840602000_stream_1788110257852430109 will use /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/stream/__atlas_1788110255840602000_stream_1788110257852430109 for osiris log data directory[0m
rabbitmq-3-1  | 2026-08-30 17:17:38.023318+00:00 [info] <0.2419.0> __atlas_1788110255840602000_stream_1788110257852430109 [osiris_replica:handle_continue/2] osiris replica starting in epoch 1, next offset 0, tail info {0,empty}[0m
rabbitmq-3-1  | 2026-08-30 17:17:38.033678+00:00 [info] <0.2416.0> rabbit_stream_coordinator: __atlas_1788110255840602000_stream_1788110257852430109: replica started on rabbit@rabbitmq-2 in 1 pid <15328.2380.0>[0m
rabbitmq-3-1  | 2026-08-30 17:17:38.041649+00:00 [info] <0.2417.0> rabbit_stream_coordinator: __atlas_1788110255840602000_stream_1788110257852430109: replica started on rabbit@rabbitmq-3 in 1 pid <0.2419.0>[0m
rabbitmq-3-1  | 2026-08-30 17:17:38.198801+00:00 [info] <0.2421.0> rabbit_stream_coordinator: Member deleted for __atlas_1788110255840602000_stream_1788110257852430109 : on node rabbit@rabbitmq-2[0m
