rabbitmq-2-1  | 2026-08-30 14:38:51.637379+00:00 [info] <0.1627.0> closing STOMP connection <0.1627.0> (192.168.80.3:39966 -> 192.168.80.2:61613)[0m
rabbitmq-2-1  | 2026-08-30 14:39:28.060075+00:00 [info] <0.1763.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-2-1  | 2026-08-30 14:39:28.060075+00:00 [info] <0.1763.0>     rabbitmq_mqtt[0m
rabbitmq-2-1  | 2026-08-30 14:39:28.060075+00:00 [info] <0.1763.0> [0m
rabbitmq-2-1  | 2026-08-30 14:39:28.060615+00:00 [info] <0.1763.0> Stopping application 'rabbitmq_mqtt'[0m
rabbitmq-2-1  | 2026-08-30 14:39:28.060853+00:00 [info] <0.1351.0> stopped MQTT TCP listener on [::]:1883[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:39:28.074590+00:00 [notice] <0.45.0> Application rabbitmq_mqtt exited with reason: stopped[0m
rabbitmq-2-1  | 2026-08-30 14:39:28.110315+00:00 [info] <0.1763.0> Plugins changed; disabled [rabbitmq_mqtt][0m
rabbitmq-2-1  | 2026-08-30 14:39:36.064998+00:00 [info] <0.1853.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-2-1  | 2026-08-30 14:39:36.064998+00:00 [info] <0.1853.0>     rabbitmq_stomp[0m
rabbitmq-2-1  | 2026-08-30 14:39:36.064998+00:00 [info] <0.1853.0> [0m
rabbitmq-2-1  | 2026-08-30 14:39:36.065282+00:00 [info] <0.1853.0> Stopping application 'rabbitmq_stomp'[0m
rabbitmq-2-1  | 2026-08-30 14:39:36.068852+00:00 [info] <0.1303.0> stopped STOMP TCP listener on [::]:61613[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:39:36.082922+00:00 [notice] <0.45.0> Application rabbitmq_stomp exited with reason: stopped[0m
rabbitmq-2-1  | 2026-08-30 14:39:36.117493+00:00 [info] <0.1853.0> Plugins changed; disabled [rabbitmq_stomp][0m
rabbitmq-2-1  | 2026-08-30 14:39:43.662622+00:00 [info] <0.1942.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-2-1  | 2026-08-30 14:39:43.662622+00:00 [info] <0.1942.0>     rabbitmq_stream[0m
rabbitmq-2-1  | 2026-08-30 14:39:43.662622+00:00 [info] <0.1942.0>     rabbitmq_stream_common[0m
rabbitmq-2-1  | 2026-08-30 14:39:43.662622+00:00 [info] <0.1942.0> [0m
rabbitmq-2-1  | 2026-08-30 14:39:43.664279+00:00 [info] <0.1942.0> Stopping application 'rabbitmq_stream'[0m
