rabbitmq-3-1  |   Support:     https://www.rabbitmq.com/docs/contact
rabbitmq-3-1  |   Tutorials:   https://www.rabbitmq.com/tutorials
rabbitmq-3-1  |   Monitoring:  https://www.rabbitmq.com/docs/monitoring
rabbitmq-3-1  |   Upgrading:   https://www.rabbitmq.com/docs/upgrade
rabbitmq-3-1  |
rabbitmq-3-1  |   Logs: <stdout>
rabbitmq-3-1  |
rabbitmq-3-1  |   Config file(s): /etc/rabbitmq/rabbitmq.conf
rabbitmq-3-1  |                   /etc/rabbitmq/conf.d/10-defaults.conf
rabbitmq-3-1  |
rabbitmq-3-1  |   Starting broker...2026-08-30 11:42:34.917622+00:00 [info] <0.209.0> [0m
rabbitmq-3-1  | 2026-08-30 11:42:34.917622+00:00 [info] <0.209.0>  node           : rabbit@rabbitmq-3[0m
rabbitmq-3-1  | 2026-08-30 11:42:34.917622+00:00 [info] <0.209.0>  home dir       : /var/lib/rabbitmq[0m
rabbitmq-3-1  | 2026-08-30 11:42:34.917622+00:00 [info] <0.209.0>  config file(s) : /etc/rabbitmq/rabbitmq.conf[0m
rabbitmq-3-1  | 2026-08-30 11:42:34.917622+00:00 [info] <0.209.0>                 : /etc/rabbitmq/conf.d/10-defaults.conf[0m
rabbitmq-3-1  | 2026-08-30 11:42:34.917622+00:00 [info] <0.209.0>  log(s)         : <stdout>[0m
rabbitmq-3-1  | 2026-08-30 11:42:34.917622+00:00 [info] <0.209.0>  data dir       : /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.164226+00:00 [info] <0.209.0> Running boot step pre_boot defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.164287+00:00 [info] <0.209.0> Running boot step rabbit_global_counters defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.164680+00:00 [info] <0.209.0> Running boot step rabbit_osiris_metrics defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.165205+00:00 [info] <0.209.0> Running boot step rabbit_core_metrics defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.166491+00:00 [info] <0.209.0> Running boot step worker_pool defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.166565+00:00 [info] <0.550.0> Will use 12 processes for default worker pool[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.166602+00:00 [info] <0.550.0> Starting worker pool 'worker_pool' with 12 processes in it[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.171423+00:00 [info] <0.209.0> Running boot step rabbit_registry defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.171528+00:00 [info] <0.209.0> Running boot step database defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.187419+00:00 [info] <0.209.0> Peer discovery: configured backend: rabbit_peer_discovery_classic_config[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 11:42:35.403006+00:00 [notice] <0.209.0> Found the following metadata store members: [{rabbitmq_metadata,[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 11:42:35.403006+00:00 [notice] <0.209.0>                                               'rabbit@rabbitmq-1'},[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 11:42:35.403006+00:00 [notice] <0.209.0>                                              {rabbitmq_metadata,[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 11:42:35.403006+00:00 [notice] <0.209.0>                                               'rabbit@rabbitmq-2'},[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 11:42:35.403006+00:00 [notice] <0.209.0>                                              {rabbitmq_metadata,[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 11:42:35.403006+00:00 [notice] <0.209.0>                                               'rabbit@rabbitmq-3'}][0m
rabbitmq-3-1  | 2026-08-30 11:42:35.551277+00:00 [info] <0.209.0> Running boot step tracking_metadata_store defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.551396+00:00 [info] <0.744.0> Setting up a table for connection tracking on this node: tracked_connection[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.551434+00:00 [info] <0.744.0> Setting up a table for per-vhost connection counting on this node: tracked_connection_per_vhost[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.551478+00:00 [info] <0.744.0> Setting up a table for per-user connection counting on this node: tracked_connection_per_user[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.551546+00:00 [info] <0.744.0> Setting up a table for channel tracking on this node: tracked_channel[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.551571+00:00 [info] <0.744.0> Setting up a table for channel tracking on this node: tracked_channel_per_user[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.551650+00:00 [info] <0.209.0> Running boot step networking_metadata_store defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.551715+00:00 [info] <0.209.0> Running boot step feature_flags defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.551808+00:00 [info] <0.209.0> Running boot step rabbit_alarm defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.559173+00:00 [info] <0.749.0> Memory high watermark set to 4760 MiB (4991542886 bytes) of 7933 MiB (8319238144 bytes) total[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.562070+00:00 [info] <0.752.0> Enabling free disk space monitoring (disk free space: 388489822208, total memory: 8319238144)[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.562132+00:00 [info] <0.752.0> Disk free limit set to 50MB[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.563230+00:00 [info] <0.209.0> Running boot step auth_backend_plugins_check defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.563267+00:00 [info] <0.209.0> Running boot step codec_correctness_check defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.563303+00:00 [info] <0.209.0> Running boot step external_infrastructure defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.563318+00:00 [info] <0.209.0> Running boot step rabbit_event defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.563411+00:00 [info] <0.209.0> Running boot step rabbit_auth_mechanism_amqplain defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.563462+00:00 [info] <0.209.0> Running boot step rabbit_auth_mechanism_anonymous defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.563484+00:00 [info] <0.209.0> Running boot step rabbit_auth_mechanism_cr_demo defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.563530+00:00 [info] <0.209.0> Running boot step rabbit_auth_mechanism_plain defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.563557+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_direct defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.563575+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_fanout defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.563587+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_headers defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.563600+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_local_random defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.563622+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_modulus_hash defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.563635+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_topic defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.563647+00:00 [info] <0.209.0> Running boot step rabbit_priority_queue defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.563659+00:00 [info] <0.209.0> Priority queues enabled, real BQ is rabbit_variable_queue[0m
rabbitmq-3-1  | 2026-08-30 11:42:35.563676+00:00 [info] <0.209.0> Running boot step kernel_ready defined by app rabbit[0m
