rabbitmq-1-1  |   TLS Library: OpenSSL - OpenSSL 3.5.8 25 Aug 2026
rabbitmq-1-1  | 2026-08-30 14:43:49.498959+00:00 [info] <0.209.0> Running boot step rabbit_auth_mechanism_amqplain defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.499066+00:00 [info] <0.209.0> Running boot step rabbit_auth_mechanism_anonymous defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.499172+00:00 [info] <0.209.0> Running boot step rabbit_auth_mechanism_cr_demo defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.499233+00:00 [info] <0.209.0> Running boot step rabbit_auth_mechanism_plain defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.499256+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_direct defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.499323+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_fanout defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.499399+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_headers defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.499439+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_local_random defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.499459+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_modulus_hash defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.499485+00:00 [info] <0.209.0> Running boot step rabbit_exchange_type_topic defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.499501+00:00 [info] <0.209.0> Running boot step rabbit_priority_queue defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.499589+00:00 [info] <0.209.0> Priority queues enabled, real BQ is rabbit_variable_queue[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.499649+00:00 [info] <0.209.0> Running boot step kernel_ready defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.499665+00:00 [info] <0.209.0> Running boot step pg_local_amqp_connection defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.504015+00:00 [info] <0.209.0> Running boot step pg_local_amqp_session defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.504170+00:00 [info] <0.209.0> Running boot step rabbit_sysmon_minder defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.504312+00:00 [info] <0.209.0> Running boot step rabbit_epmd_monitor defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.505320+00:00 [info] <0.765.0> epmd monitor knows us, inter-node communication (distribution) port: 25672[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.505413+00:00 [info] <0.209.0> Running boot step guid_generator defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.507217+00:00 [info] <0.209.0> Running boot step rabbit_node_monitor defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.507326+00:00 [info] <0.769.0> Starting rabbit_node_monitor[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.507432+00:00 [info] <0.209.0> Running boot step delegate_sup defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.507775+00:00 [info] <0.209.0> Running boot step rabbit_chaos defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:43:49.507868+00:00 [info] <0.209.0> Running boot step rabbit_fifo_dlx_sup defined by app rabbit[0m
