rabbitmq-1-1  | [38;5;214m2026-08-30 14:20:54.356323+00:00 [warning] <0.1596.0> STOMP login failed for user 'atlas': authentication failed[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:20:54.356455+00:00 [error] <0.1596.0> STOMP error frame sent:[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:20:54.356455+00:00 [error] <0.1596.0> Message: "Bad CONNECT"[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:20:54.356455+00:00 [error] <0.1596.0> Detail: "Access refused for user 'atlas'"[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:20:54.356455+00:00 [error] <0.1596.0> Server private detail: none[0m
rabbitmq-1-1  | 2026-08-30 14:20:54.357250+00:00 [info] <0.1596.0> closing STOMP connection <0.1596.0> (192.168.80.4:45110 -> 192.168.80.4:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:20:54.469087+00:00 [info] <0.1602.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:20:54.490784+00:00 [info] <0.1602.0> Accepted MQTT connection 192.168.80.4:39446 -> 192.168.80.4:1883 for client ID compat-31[0m
rabbitmq-1-1  | 2026-08-30 14:20:54.490952+00:00 [info] <0.1602.0> MQTT detected network error for <<"192.168.80.4:39446 -> 192.168.80.4:1883">>: einval[0m
rabbitmq-1-1  | 2026-08-30 14:20:54.491445+00:00 [info] <0.1604.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:20:54.493541+00:00 [info] <0.1604.0> Accepted MQTT connection 192.168.80.4:39448 -> 192.168.80.4:1883 for client ID compat-311[0m
rabbitmq-1-1  | 2026-08-30 14:20:54.494126+00:00 [info] <0.1604.0> MQTT connection <<"192.168.80.4:39448 -> 192.168.80.4:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 14:20:54.505518+00:00 [info] <0.1611.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:20:54.507163+00:00 [info] <0.1611.0> Accepted MQTT connection 192.168.80.4:39462 -> 192.168.80.4:1883 for client ID compat-50[0m
rabbitmq-1-1  | 2026-08-30 14:20:54.507905+00:00 [info] <0.1611.0> MQTT detected network error for <<"192.168.80.4:39462 -> 192.168.80.4:1883">>: einval[0m
rabbitmq-1-1  | 2026-08-30 14:20:54.569074+00:00 [info] <0.1623.0> accepting STOMP connection <0.1623.0> (192.168.80.4:45126 -> 192.168.80.4:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:20:54.570721+00:00 [info] <0.1627.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:20:54.588930+00:00 [info] <0.1623.0> closing STOMP connection <0.1623.0> (192.168.80.4:45126 -> 192.168.80.4:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:20:54.589575+00:00 [info] <0.1642.0> accepting STOMP connection <0.1642.0> (192.168.80.4:45136 -> 192.168.80.4:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:20:54.590425+00:00 [info] <0.1650.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:20:54.592593+00:00 [info] <0.1642.0> closing STOMP connection <0.1642.0> (192.168.80.4:45136 -> 192.168.80.4:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:20:54.593043+00:00 [info] <0.1669.0> accepting STOMP connection <0.1669.0> (192.168.80.4:45146 -> 192.168.80.4:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:20:54.593268+00:00 [info] <0.1673.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:20:54.603611+00:00 [info] <0.1669.0> closing STOMP connection <0.1669.0> (192.168.80.4:45146 -> 192.168.80.4:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:21:05.857751+00:00 [info] <0.1769.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-1-1  | 2026-08-30 14:21:05.857751+00:00 [info] <0.1769.0>     rabbitmq_mqtt[0m
rabbitmq-1-1  | 2026-08-30 14:21:05.857751+00:00 [info] <0.1769.0> [0m
rabbitmq-1-1  | 2026-08-30 14:21:05.858043+00:00 [info] <0.1769.0> Stopping application 'rabbitmq_mqtt'[0m
rabbitmq-1-1  | 2026-08-30 14:21:05.858602+00:00 [info] <0.1341.0> stopped MQTT TCP listener on [::]:1883[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:21:05.966831+00:00 [notice] <0.45.0> Application rabbitmq_mqtt exited with reason: stopped[0m
rabbitmq-1-1  | 2026-08-30 14:21:06.025407+00:00 [info] <0.1769.0> Plugins changed; disabled [rabbitmq_mqtt][0m
rabbitmq-1-1  | 2026-08-30 14:21:20.462172+00:00 [info] <0.1881.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
