rabbitmq-1-1  | 2026-08-30 14:38:51.574557+00:00 [info] <0.1547.0> Accepted MQTT connection 192.168.80.3:51506 -> 192.168.80.3:1883 for client ID compat-31[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.574783+00:00 [info] <0.1547.0> MQTT detected network error for <<"192.168.80.3:51506 -> 192.168.80.3:1883">>: einval[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.575483+00:00 [info] <0.1549.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.576104+00:00 [info] <0.1549.0> Accepted MQTT connection 192.168.80.3:51520 -> 192.168.80.3:1883 for client ID compat-311[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.576237+00:00 [info] <0.1549.0> MQTT detected network error for <<"192.168.80.3:51520 -> 192.168.80.3:1883">>: einval[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.576746+00:00 [info] <0.1553.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.577093+00:00 [info] <0.1553.0> Accepted MQTT connection 192.168.80.3:51534 -> 192.168.80.3:1883 for client ID compat-50[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.577206+00:00 [info] <0.1553.0> MQTT connection <<"192.168.80.3:51534 -> 192.168.80.3:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.594862+00:00 [info] <0.1568.0> accepting STOMP connection <0.1568.0> (192.168.80.3:42006 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.597403+00:00 [info] <0.1572.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.615684+00:00 [info] <0.1568.0> closing STOMP connection <0.1568.0> (192.168.80.3:42006 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.616834+00:00 [info] <0.1590.0> accepting STOMP connection <0.1590.0> (192.168.80.3:42018 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.617887+00:00 [info] <0.1595.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.620077+00:00 [info] <0.1590.0> closing STOMP connection <0.1590.0> (192.168.80.3:42018 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.620414+00:00 [info] <0.1614.0> accepting STOMP connection <0.1614.0> (192.168.80.3:42022 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.620913+00:00 [info] <0.1618.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.623755+00:00 [info] <0.1614.0> closing STOMP connection <0.1614.0> (192.168.80.3:42022 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:59.873896+00:00 [info] <0.1723.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-1-1  | 2026-08-30 14:38:59.873896+00:00 [info] <0.1723.0>     rabbitmq_mqtt[0m
rabbitmq-1-1  | 2026-08-30 14:38:59.873896+00:00 [info] <0.1723.0> [0m
rabbitmq-1-1  | 2026-08-30 14:38:59.875348+00:00 [info] <0.1723.0> Stopping application 'rabbitmq_mqtt'[0m
rabbitmq-1-1  | 2026-08-30 14:38:59.876509+00:00 [info] <0.1325.0> stopped MQTT TCP listener on [::]:1883[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:38:59.913931+00:00 [notice] <0.45.0> Application rabbitmq_mqtt exited with reason: stopped[0m
rabbitmq-1-1  | 2026-08-30 14:38:59.950635+00:00 [info] <0.1723.0> Plugins changed; disabled [rabbitmq_mqtt][0m
rabbitmq-1-1  | 2026-08-30 14:39:10.039200+00:00 [info] <0.1813.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-1-1  | 2026-08-30 14:39:10.039200+00:00 [info] <0.1813.0>     rabbitmq_stomp[0m
rabbitmq-1-1  | 2026-08-30 14:39:10.039200+00:00 [info] <0.1813.0> [0m
rabbitmq-1-1  | 2026-08-30 14:39:10.039574+00:00 [info] <0.1813.0> Stopping application 'rabbitmq_stomp'[0m
rabbitmq-1-1  | 2026-08-30 14:39:10.042884+00:00 [info] <0.1277.0> stopped STOMP TCP listener on [::]:61613[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:39:10.077634+00:00 [notice] <0.45.0> Application rabbitmq_stomp exited with reason: stopped[0m
rabbitmq-1-1  | 2026-08-30 14:39:10.106006+00:00 [info] <0.1813.0> Plugins changed; disabled [rabbitmq_stomp][0m
rabbitmq-1-1  | 2026-08-30 14:39:20.098809+00:00 [info] <0.1902.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-1-1  | 2026-08-30 14:39:20.098809+00:00 [info] <0.1902.0>     rabbitmq_stream[0m
rabbitmq-1-1  | 2026-08-30 14:39:20.098809+00:00 [info] <0.1902.0>     rabbitmq_stream_common[0m
rabbitmq-1-1  | 2026-08-30 14:39:20.098809+00:00 [info] <0.1902.0> [0m
rabbitmq-1-1  | 2026-08-30 14:39:20.099191+00:00 [info] <0.1902.0> Stopping application 'rabbitmq_stream'[0m
rabbitmq-1-1  | 2026-08-30 14:39:20.100492+00:00 [info] <0.1299.0> stopped Stream TCP listener on [::]:5552[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:39:20.126617+00:00 [notice] <0.45.0> Application rabbitmq_stream exited with reason: stopped[0m
rabbitmq-1-1  | 2026-08-30 14:39:20.126866+00:00 [info] <0.1902.0> Stopping application 'rabbitmq_stream_common'[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:39:20.127072+00:00 [notice] <0.45.0> Application rabbitmq_stream_common exited with reason: stopped[0m
rabbitmq-1-1  | 2026-08-30 14:39:20.172672+00:00 [info] <0.1902.0> Plugins changed; disabled [rabbitmq_stream,rabbitmq_stream_common][0m
rabbitmq-1-1  | 2026-08-30 14:40:21.757582+00:00 [info] <0.1980.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:40:32.476741+00:00 [info] <0.2048.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:40:38.454482+00:00 [info] <0.2109.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:40:42.934842+00:00 [info] <0.2168.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:40:47.077368+00:00 [info] <0.2227.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:40:53.860073+00:00 [info] <0.2286.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:00.378862+00:00 [info] <0.2352.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:00.713823+00:00 [info] <0.2357.0> accepting AMQP connection 192.168.80.1:18726 -> 192.168.80.3:5672[0m
rabbitmq-1-1  | 2026-08-30 14:41:00.729835+00:00 [info] <0.2357.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:00.738607+00:00 [info] <0.2357.0> connection 192.168.80.1:18726 -> 192.168.80.3:5672: user 'atlas' authenticated and granted access to vhost '/'[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:41:00.866047+00:00 [error] <0.2374.0> Deprecated features: `transient_nonexcl_queues`: Feature `transient_nonexcl_queues` is deprecated.[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:41:00.866047+00:00 [error] <0.2374.0> By default, this feature is not permitted anymore.[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:41:00.866047+00:00 [error] <0.2374.0> The feature will be removed from a future major RabbitMQ version, regardless of the configuration; actual version to be determined.[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:41:00.866047+00:00 [error] <0.2374.0> To continue using this feature when it is not permitted by default, set the following parameter in your configuration:[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:41:00.866047+00:00 [error] <0.2374.0>     "deprecated_features.permit.transient_nonexcl_queues = true"[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:41:00.866682+00:00 [error] <0.2374.0> Channel error on connection <0.2357.0> (192.168.80.1:18726 -> 192.168.80.3:5672, vhost: '/', user: 'atlas'), channel 2:[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:41:00.866682+00:00 [error] <0.2374.0> operation queue.declare caused a channel exception precondition_failed: inequivalent arg 'durable' for queue 'atlas.1788100860708359000.property-equivalence' in vhost '/': received 'false' but current is 'true'[0m
rabbitmq-1-1  | 2026-08-30 14:41:02.854912+00:00 [info] <0.2508.0> queue 'atlas.1788100860708359000.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 14:41:02.855496+00:00 [info] <0.2508.0> queue 'atlas.1788100860708359000.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 14:41:02.855828+00:00 [info] <0.2508.0> queue 'atlas.1788100860708359000.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:41:02.912199+00:00 [notice] <0.2515.0> queue 'atlas.1788100860708359000.quorum' in vhost '/': candidate -> leader in term: 1 machine version: 8, last applied 0[0m
rabbitmq-1-1  | 2026-08-30 14:41:02.914382+00:00 [info] <0.2508.0> ra: started cluster '%2F_atlas.1788100860708359000.quorum' with 3 servers. 0 servers failed to start: []. Leader: {'%2F_atlas.1788100860708359000.quorum','rabbit@rabbitmq-1'}[0m
rabbitmq-1-1  | 2026-08-30 14:41:02.914531+00:00 [info] <0.2508.0> queue 'atlas.1788100860708359000.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 14:41:03.029259+00:00 [info] <0.2531.0> Stream: __atlas_1788100860708359000_stream_1788100862966347012 will use /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/stream/__atlas_1788100860708359000_stream_1788100862966347012 for osiris log data directory[0m
rabbitmq-1-1  | 2026-08-30 14:41:03.060339+00:00 [info] <0.2531.0> osiris_writer:init/1: name: __atlas_1788100860708359000_stream_1788100862966347012 committed offset: -1 committed chunk id: -1 epoch: 1[0m
rabbitmq-1-1  | 2026-08-30 14:41:03.087556+00:00 [info] <0.2534.0> __atlas_1788100860708359000_stream_1788100862966347012 [osiris_replica_reader:init/1] replica reader successfully connected to host {192,168,80,4} port 6238[0m
rabbitmq-1-1  | 2026-08-30 14:41:03.090192+00:00 [info] <0.2534.0> __atlas_1788100860708359000_stream_1788100862966347012 [osiris_replica_reader:init/1] starting osiris replica reader at offset 0[0m
rabbitmq-1-1  | 2026-08-30 14:41:03.093924+00:00 [info] <0.2535.0> __atlas_1788100860708359000_stream_1788100862966347012 [osiris_replica_reader:init/1] replica reader successfully connected to host {192,168,80,2} port 6009[0m
rabbitmq-1-1  | 2026-08-30 14:41:03.097711+00:00 [info] <0.2535.0> __atlas_1788100860708359000_stream_1788100862966347012 [osiris_replica_reader:init/1] starting osiris replica reader at offset 0[0m
rabbitmq-1-1  | 2026-08-30 14:41:03.184602+00:00 [info] <0.2531.0> osiris_writer:terminate/2: name __atlas_1788100860708359000_stream_1788100862966347012 reason: shutdown[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:41:03.198631+00:00 [notice] <0.2515.0> queue 'atlas.1788100860708359000.quorum' in vhost '/': leader -> terminating_leader in term: 1 machine version: 8, last applied 7[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:41:03.198816+00:00 [notice] <0.2515.0> queue 'atlas.1788100860708359000.quorum' in vhost '/': terminating with reason 'delete'[0m
rabbitmq-1-1  | 2026-08-30 14:41:03.203749+00:00 [info] <15327.2391.0> Deleting server '%2F_atlas.1788100860708359000.quorum' and its data directory.[0m
rabbitmq-1-1  | 2026-08-30 14:41:03.205412+00:00 [info] <15328.2347.0> Deleting server '%2F_atlas.1788100860708359000.quorum' and its data directory.[0m
rabbitmq-1-1  | 2026-08-30 14:41:03.253077+00:00 [info] <0.2357.0> closing AMQP connection (192.168.80.1:18726 -> 192.168.80.3:5672, vhost: '/', user: 'atlas', duration: '2s')[0m
rabbitmq-1-1  | 2026-08-30 14:41:03.443460+00:00 [info] <0.2564.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:03.454855+00:00 [info] <0.2568.0> User 'atlas' authenticated successfully[0m
