rabbitmq-1-1  | 2026-08-30 17:14:49.288693+00:00 [info] <0.1654.0> accepting STOMP connection <0.1654.0> (172.29.0.4:56102 -> 172.29.0.4:61613)[0m
rabbitmq-1-1  | 2026-08-30 17:14:49.291406+00:00 [info] <0.1659.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:14:49.296735+00:00 [info] <0.1654.0> closing STOMP connection <0.1654.0> (172.29.0.4:56102 -> 172.29.0.4:61613)[0m
rabbitmq-1-1  | 2026-08-30 17:14:49.297160+00:00 [info] <0.1674.0> accepting STOMP connection <0.1674.0> (172.29.0.4:56114 -> 172.29.0.4:61613)[0m
rabbitmq-1-1  | 2026-08-30 17:14:49.297621+00:00 [info] <0.1682.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:14:49.303622+00:00 [info] <0.1674.0> closing STOMP connection <0.1674.0> (172.29.0.4:56114 -> 172.29.0.4:61613)[0m
rabbitmq-1-1  | 2026-08-30 17:15:04.533920+00:00 [info] <0.1799.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-1-1  | 2026-08-30 17:15:04.533920+00:00 [info] <0.1799.0>     rabbitmq_mqtt[0m
rabbitmq-1-1  | 2026-08-30 17:15:04.533920+00:00 [info] <0.1799.0> [0m
rabbitmq-1-1  | 2026-08-30 17:15:04.537714+00:00 [info] <0.1799.0> Stopping application 'rabbitmq_mqtt'[0m
rabbitmq-1-1  | 2026-08-30 17:15:04.554909+00:00 [info] <0.1368.0> stopped MQTT TCP listener on [::]:1883[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 17:15:04.782315+00:00 [notice] <0.45.0> Application rabbitmq_mqtt exited with reason: stopped[0m
rabbitmq-1-1  | 2026-08-30 17:15:04.854783+00:00 [info] <0.1799.0> Plugins changed; disabled [rabbitmq_mqtt][0m
rabbitmq-1-1  | 2026-08-30 17:15:15.005483+00:00 [info] <0.1889.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-1-1  | 2026-08-30 17:15:15.005483+00:00 [info] <0.1889.0>     rabbitmq_stomp[0m
rabbitmq-1-1  | 2026-08-30 17:15:15.005483+00:00 [info] <0.1889.0> [0m
rabbitmq-1-1  | 2026-08-30 17:15:15.006350+00:00 [info] <0.1889.0> Stopping application 'rabbitmq_stomp'[0m
rabbitmq-1-1  | 2026-08-30 17:15:15.007264+00:00 [info] <0.1320.0> stopped STOMP TCP listener on [::]:61613[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 17:15:15.034405+00:00 [notice] <0.45.0> Application rabbitmq_stomp exited with reason: stopped[0m
rabbitmq-1-1  | 2026-08-30 17:15:15.069539+00:00 [info] <0.1889.0> Plugins changed; disabled [rabbitmq_stomp][0m
rabbitmq-1-1  | 2026-08-30 17:15:25.093053+00:00 [info] <0.1978.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-1-1  | 2026-08-30 17:15:25.093053+00:00 [info] <0.1978.0>     rabbitmq_stream[0m
rabbitmq-1-1  | 2026-08-30 17:15:25.093053+00:00 [info] <0.1978.0>     rabbitmq_stream_common[0m
rabbitmq-1-1  | 2026-08-30 17:15:25.093053+00:00 [info] <0.1978.0> [0m
rabbitmq-1-1  | 2026-08-30 17:15:25.093570+00:00 [info] <0.1978.0> Stopping application 'rabbitmq_stream'[0m
rabbitmq-1-1  | 2026-08-30 17:15:25.094673+00:00 [info] <0.1342.0> stopped Stream TCP listener on [::]:5552[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 17:15:25.111777+00:00 [notice] <0.45.0> Application rabbitmq_stream exited with reason: stopped[0m
rabbitmq-1-1  | 2026-08-30 17:15:25.111975+00:00 [info] <0.1978.0> Stopping application 'rabbitmq_stream_common'[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 17:15:25.112085+00:00 [notice] <0.45.0> Application rabbitmq_stream_common exited with reason: stopped[0m
rabbitmq-1-1  | 2026-08-30 17:15:25.134037+00:00 [info] <0.1978.0> Plugins changed; disabled [rabbitmq_stream,rabbitmq_stream_common][0m
rabbitmq-1-1  | 2026-08-30 17:16:33.212418+00:00 [info] <0.2073.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:16:45.031944+00:00 [info] <0.2135.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:16:56.068046+00:00 [info] <0.2194.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:04.363864+00:00 [info] <0.2268.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:14.825866+00:00 [info] <0.2329.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:24.760357+00:00 [info] <0.2388.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:35.199076+00:00 [info] <0.2428.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:35.842150+00:00 [info] <0.2433.0> accepting AMQP connection 172.29.0.1:57300 -> 172.29.0.4:5672[0m
rabbitmq-1-1  | 2026-08-30 17:17:35.848411+00:00 [info] <0.2433.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:35.851091+00:00 [info] <0.2433.0> connection 172.29.0.1:57300 -> 172.29.0.4:5672: user 'atlas' authenticated and granted access to vhost '/'[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 17:17:35.873973+00:00 [error] <0.2450.0> Deprecated features: `transient_nonexcl_queues`: Feature `transient_nonexcl_queues` is deprecated.[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 17:17:35.873973+00:00 [error] <0.2450.0> By default, this feature is not permitted anymore.[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 17:17:35.873973+00:00 [error] <0.2450.0> The feature will be removed from a future major RabbitMQ version, regardless of the configuration; actual version to be determined.[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 17:17:35.873973+00:00 [error] <0.2450.0> To continue using this feature when it is not permitted by default, set the following parameter in your configuration:[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 17:17:35.873973+00:00 [error] <0.2450.0>     "deprecated_features.permit.transient_nonexcl_queues = true"[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 17:17:35.874328+00:00 [error] <0.2450.0> Channel error on connection <0.2433.0> (172.29.0.1:57300 -> 172.29.0.4:5672, vhost: '/', user: 'atlas'), channel 2:[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 17:17:35.874328+00:00 [error] <0.2450.0> operation queue.declare caused a channel exception precondition_failed: inequivalent arg 'durable' for queue 'atlas.1788110255840602000.property-equivalence' in vhost '/': received 'false' but current is 'true'[0m
rabbitmq-1-1  | 2026-08-30 17:17:37.709951+00:00 [info] <0.2582.0> queue 'atlas.1788110255840602000.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 17:17:37.712490+00:00 [info] <0.2582.0> queue 'atlas.1788110255840602000.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 17:17:37.712566+00:00 [info] <0.2582.0> queue 'atlas.1788110255840602000.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 17:17:37.790697+00:00 [notice] <0.2589.0> queue 'atlas.1788110255840602000.quorum' in vhost '/': candidate -> leader in term: 1 machine version: 8, last applied 0[0m
rabbitmq-1-1  | 2026-08-30 17:17:37.791647+00:00 [info] <0.2582.0> ra: started cluster '%2F_atlas.1788110255840602000.quorum' with 3 servers. 0 servers failed to start: []. Leader: {'%2F_atlas.1788110255840602000.quorum','rabbit@rabbitmq-1'}[0m
rabbitmq-1-1  | 2026-08-30 17:17:37.792136+00:00 [info] <0.2582.0> queue 'atlas.1788110255840602000.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 17:17:37.941772+00:00 [info] <0.2605.0> Stream: __atlas_1788110255840602000_stream_1788110257852430109 will use /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/stream/__atlas_1788110255840602000_stream_1788110257852430109 for osiris log data directory[0m
rabbitmq-1-1  | 2026-08-30 17:17:37.966498+00:00 [info] <0.2605.0> osiris_writer:init/1: name: __atlas_1788110255840602000_stream_1788110257852430109 committed offset: -1 committed chunk id: -1 epoch: 1[0m
rabbitmq-1-1  | 2026-08-30 17:17:38.030075+00:00 [info] <0.2608.0> __atlas_1788110255840602000_stream_1788110257852430109 [osiris_replica_reader:init/1] replica reader successfully connected to host {172,29,0,3} port 6190[0m
rabbitmq-1-1  | 2026-08-30 17:17:38.033056+00:00 [info] <0.2608.0> __atlas_1788110255840602000_stream_1788110257852430109 [osiris_replica_reader:init/1] starting osiris replica reader at offset 0[0m
