security-rabbitmq-2-1  | 2026-08-30 17:21:29.242484+00:00 [info] <0.209.0> Priority queues enabled, real BQ is rabbit_variable_queue[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.242518+00:00 [info] <0.209.0> Running boot step kernel_ready defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.242531+00:00 [info] <0.209.0> Running boot step ldap_pool defined by app rabbitmq_auth_backend_ldap[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.242574+00:00 [info] <0.538.0> Starting worker pool 'ldap_pool' with 64 processes in it[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.243955+00:00 [info] <0.209.0> Running boot step pg_local_amqp_connection defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.273076+00:00 [info] <0.209.0> Running boot step pg_local_amqp_session defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.273308+00:00 [info] <0.209.0> Running boot step rabbit_sysmon_minder defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.273708+00:00 [info] <0.209.0> Running boot step rabbit_epmd_monitor defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.275624+00:00 [info] <0.836.0> epmd monitor knows us, inter-node communication (distribution) port: 25672[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.275729+00:00 [info] <0.209.0> Running boot step guid_generator defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.276642+00:00 [info] <0.209.0> Running boot step rabbit_node_monitor defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.276876+00:00 [info] <0.840.0> Starting rabbit_node_monitor[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.276941+00:00 [info] <0.209.0> Running boot step delegate_sup defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.277814+00:00 [info] <0.209.0> Running boot step rabbit_chaos defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.278056+00:00 [info] <0.209.0> Running boot step rabbit_fifo_dlx_sup defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.278217+00:00 [info] <0.209.0> Running boot step core_initialized defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.278253+00:00 [info] <0.209.0> Running boot step rabbit_channel_tracking_handler defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.278392+00:00 [info] <0.209.0> Running boot step rabbit_classic_queue_type defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.278566+00:00 [info] <0.209.0> Running boot step rabbit_classic_queue defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.278665+00:00 [info] <0.209.0> Running boot step rabbit_connection_tracking_handler defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.278698+00:00 [info] <0.209.0> Running boot step rabbit_definitions_hashing defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.278734+00:00 [info] <0.209.0> Running boot step rabbit_exchange_parameters defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.282965+00:00 [info] <0.209.0> Running boot step rabbit_policies defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.283602+00:00 [info] <0.209.0> Running boot step rabbit_quorum_queue_type defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.283724+00:00 [info] <0.209.0> Running boot step rabbit_stream_queue defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.283814+00:00 [info] <0.209.0> Running boot step rabbit_policy defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.284098+00:00 [info] <0.209.0> Running boot step rabbit_quorum_event_subscriber defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.284339+00:00 [info] <0.209.0> Running boot step rabbit_quorum_queue defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.284693+00:00 [info] <0.209.0> Running boot step quorum_memory_alarm_handler defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.284917+00:00 [info] <0.209.0> Running boot step rabbit_stream_coordinator defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.286211+00:00 [info] <0.209.0> Running boot step rabbit_vhost_limit defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.286469+00:00 [info] <0.209.0> Running boot step recovery defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.288387+00:00 [info] <0.864.0> Making sure data directory '/var/lib/rabbitmq/mnesia/rabbit@security-rabbitmq-2/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L' for vhost '/' exists[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.293337+00:00 [info] <0.864.0> Setting segment_entry_count for vhost '/' with 0 queues to '2048'[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.335029+00:00 [info] <0.864.0> Starting message stores for vhost '/'[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.341969+00:00 [info] <0.864.0> Started message store of type transient for vhost '/'[0m
security-rabbitmq-2-1  | [38;5;214m2026-08-30 17:21:29.435627+00:00 [warning] <0.877.0> Message store "628WB79CIFDYO9LJI6DKMI09L/msg_store_persistent": rebuilding indices from scratch[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.440081+00:00 [info] <0.864.0> Started message store of type persistent for vhost '/'[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.440460+00:00 [info] <0.864.0> Recovering 0 queues of type rabbit_classic_queue took 136ms[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.440545+00:00 [info] <0.864.0> Recovering 0 queues of type rabbit_quorum_queue took 0ms[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.440606+00:00 [info] <0.864.0> Recovering 0 queues of type rabbit_stream_queue took 0ms[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.440805+00:00 [info] <0.209.0> Running boot step prevent_startup_if_node_was_reset defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.440918+00:00 [info] <0.209.0> Running boot step empty_db_check defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.441410+00:00 [info] <0.209.0> Will not seed default virtual host and user: have definitions to load...[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.441757+00:00 [info] <0.209.0> Running boot step rabbit_observer_cli defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.441958+00:00 [info] <0.209.0> Running boot step rabbit_core_metrics_gc defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.442146+00:00 [info] <0.209.0> Running boot step background_gc defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.442548+00:00 [info] <0.209.0> Running boot step rabbit_observer_cli_classic_queues defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.442647+00:00 [info] <0.209.0> Running boot step rabbit_observer_cli_quorum_queues defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.442716+00:00 [info] <0.209.0> Running boot step routing_ready defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.442920+00:00 [info] <0.209.0> Running boot step pre_flight defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.443059+00:00 [info] <0.209.0> Running boot step notify_cluster defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.443112+00:00 [info] <0.209.0> Running boot step networking defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.443150+00:00 [info] <0.209.0> Running boot step rabbit_quorum_queue_periodic_membership_reconciliation defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.443285+00:00 [info] <0.840.0> rabbit on node 'rabbit@security-rabbitmq-3' up[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.443549+00:00 [info] <0.209.0> Running boot step definition_import_worker_pool defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.443602+00:00 [info] <0.538.0> Starting worker pool 'definition_import_pool' with 12 processes in it[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.445239+00:00 [info] <0.209.0> Running boot step cluster_name defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.445436+00:00 [info] <0.209.0> Running boot step virtual_host_reconciliation defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.449168+00:00 [info] <0.209.0> Running boot step direct_client defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.449363+00:00 [info] <0.209.0> Running boot step logger_exchange defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.451819+00:00 [info] <0.209.0> Running boot step cluster_tags defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.454029+00:00 [info] <0.209.0> Running boot step queue_type_registrations defined by app rabbit[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.454541+00:00 [info] <0.911.0> Resetting node maintenance status[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.458526+00:00 [info] <0.911.0> Ready to start client connection listeners[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.522946+00:00 [info] <0.932.0> started TCP listener on [::]:5672[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.923475+00:00 [info] <0.911.0> Server startup complete; 1 plugins started.[0m
security-rabbitmq-2-1  | 2026-08-30 17:21:29.923475+00:00 [info] <0.911.0>  * rabbitmq_auth_backend_ldap[0m
security-rabbitmq-2-1  |  completed with 1 plugins.
