rabbitmq-1-1  | 2026-08-30 17:17:52.530224+00:00 [info] <0.2742.0> closing AMQP connection (172.29.0.1:20257 -> 172.29.0.4:5672, duration: '3s')[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.537395+00:00 [info] <0.2752.0> accepting AMQP connection 172.29.0.1:40941 -> 172.29.0.4:5672[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.544368+00:00 [info] <0.2752.0> User 'atlas-secops-1788110260152515000-user' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.547897+00:00 [info] <0.2752.0> connection 172.29.0.1:40941 -> 172.29.0.4:5672: user 'atlas-secops-1788110260152515000-user' authenticated and granted access to vhost 'atlas-secops-1788110260152515000'[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.549378+00:00 [info] <0.2752.0> closing AMQP connection (172.29.0.1:40941 -> 172.29.0.4:5672, vhost: 'atlas-secops-1788110260152515000', user: 'atlas-secops-1788110260152515000-user', duration: '12ms')[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.553123+00:00 [info] <0.2761.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.578148+00:00 [info] <0.2763.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.587098+00:00 [info] <0.2765.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.621547+00:00 [info] <0.2766.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.628659+00:00 [info] <0.2766.0> Deleted user 'atlas-secops-1788110260152515000-user'[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.629410+00:00 [info] <0.2767.0> Closing all connections for user 'atlas-secops-1788110260152515000-user' because the user is being deleted[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.632636+00:00 [info] <0.2770.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.686411+00:00 [info] <0.2771.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.686640+00:00 [info] <0.2771.0> Deleting vhost 'atlas-secops-1788110260152515000'[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.686736+00:00 [info] <0.2771.0> Clearing permissions in vhost 'atlas-secops-1788110260152515000' because it's being deleted[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.695566+00:00 [info] <0.2771.0> Deleting queues in vhost 'atlas-secops-1788110260152515000' because it's being deleted[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.715049+00:00 [info] <0.2771.0> Deleting exchanges in vhost 'atlas-secops-1788110260152515000' because it's being deleted[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.743621+00:00 [info] <0.2771.0> Clearing policies and runtime parameters in vhost 'atlas-secops-1788110260152515000' because it's being deleted[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.747335+00:00 [info] <0.2778.0> Closing all connections in vhost 'atlas-secops-1788110260152515000' because it's being deleted[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.749056+00:00 [info] <0.2771.0> Stopping vhost supervisor <0.2647.0> for vhost 'atlas-secops-1788110260152515000'[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.749358+00:00 [info] <0.2648.0> Virtual host 'atlas-secops-1788110260152515000' is stopping[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.749506+00:00 [info] <0.2780.0> Closing all connections in vhost 'atlas-secops-1788110260152515000' on node 'rabbit@rabbitmq-1' because the vhost is stopping[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.749692+00:00 [info] <0.2659.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/6PARKAWUERUS1P6UOYN1I5ING/msg_store_persistent'[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.755333+00:00 [info] <0.2659.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/6PARKAWUERUS1P6UOYN1I5ING/msg_store_persistent' is stopped[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.755718+00:00 [info] <0.2655.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/6PARKAWUERUS1P6UOYN1I5ING/msg_store_transient'[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.760175+00:00 [info] <0.2655.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/6PARKAWUERUS1P6UOYN1I5ING/msg_store_transient' is stopped[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.760772+00:00 [info] <0.2771.0> Deleting message store directory for vhost 'atlas-secops-1788110260152515000' at '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/6PARKAWUERUS1P6UOYN1I5ING'[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.767620+00:00 [info] <15327.2467.0> Stopping vhost supervisor <15327.2397.0> for vhost 'atlas-secops-1788110260152515000'[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.784777+00:00 [info] <15327.2467.0> Deleting message store directory for vhost 'atlas-secops-1788110260152515000' at '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/6PARKAWUERUS1P6UOYN1I5ING'[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.792375+00:00 [info] <15328.2508.0> Stopping vhost supervisor <15328.2438.0> for vhost 'atlas-secops-1788110260152515000'[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.808460+00:00 [info] <15328.2508.0> Deleting message store directory for vhost 'atlas-secops-1788110260152515000' at '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/6PARKAWUERUS1P6UOYN1I5ING'[0m
rabbitmq-1-1  | 2026-08-30 17:17:58.818547+00:00 [info] <0.2790.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 17:18:04.080239+00:00 [info] <0.2805.0> Created user 'atlas-scenario-20260830t171233z40300'[0m
