rabbitmq-2-1  | 2026-08-30 14:21:54.823605+00:00 [info] <0.1305.0> stopped STOMP TCP listener on [::]:61613[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:21:54.840538+00:00 [notice] <0.45.0> Application rabbitmq_stomp exited with reason: stopped[0m
rabbitmq-2-1  | 2026-08-30 14:21:54.870185+00:00 [info] <0.1874.0> Plugins changed; disabled [rabbitmq_stomp][0m
rabbitmq-2-1  | 2026-08-30 14:22:04.488429+00:00 [info] <0.1963.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-2-1  | 2026-08-30 14:22:04.488429+00:00 [info] <0.1963.0>     rabbitmq_stream[0m
rabbitmq-2-1  | 2026-08-30 14:22:04.488429+00:00 [info] <0.1963.0>     rabbitmq_stream_common[0m
rabbitmq-2-1  | 2026-08-30 14:22:04.488429+00:00 [info] <0.1963.0> [0m
rabbitmq-2-1  | 2026-08-30 14:22:04.488668+00:00 [info] <0.1963.0> Stopping application 'rabbitmq_stream'[0m
rabbitmq-2-1  | 2026-08-30 14:22:04.489199+00:00 [info] <0.1327.0> stopped Stream TCP listener on [::]:5552[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:22:04.517840+00:00 [notice] <0.45.0> Application rabbitmq_stream exited with reason: stopped[0m
rabbitmq-2-1  | 2026-08-30 14:22:04.518157+00:00 [info] <0.1963.0> Stopping application 'rabbitmq_stream_common'[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:22:04.518252+00:00 [notice] <0.45.0> Application rabbitmq_stream_common exited with reason: stopped[0m
rabbitmq-2-1  | 2026-08-30 14:22:04.588431+00:00 [info] <0.1963.0> Plugins changed; disabled [rabbitmq_stream,rabbitmq_stream_common][0m
rabbitmq-2-1  | 2026-08-30 14:22:33.310100+00:00 [info] <0.2014.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:22:40.362207+00:00 [info] <0.2075.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:22:50.899539+00:00 [info] <0.2137.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:23:03.519776+00:00 [info] <0.2197.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:23:09.903769+00:00 [info] <0.2258.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:23:14.304851+00:00 [info] <0.2330.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:23:23.884709+00:00 [info] <0.2378.0> queue 'atlas.1788099799269440000.quorum' in vhost '/': granting vote for {'%2F_atlas.1788099799269440000.quorum','rabbit@rabbitmq-1'} with last {index, term} {0,0} for term 1 previous term was 0[0m
rabbitmq-2-1  | 2026-08-30 14:23:23.905288+00:00 [info] <0.2378.0> queue 'atlas.1788099799269440000.quorum' in vhost '/': detected a new leader {'%2F_atlas.1788099799269440000.quorum','rabbit@rabbitmq-1'} in term 1[0m
