rabbitmq-3-1  |   Upgrading:   https://www.rabbitmq.com/docs/upgrade
rabbitmq-3-1  | 2026-08-30 17:12:59.295610+00:00 [info] <0.211.0> Running boot step rabbit_auth_mechanism_plain defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 17:12:59.295673+00:00 [info] <0.211.0> Running boot step rabbit_exchange_type_direct defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 17:12:59.295710+00:00 [info] <0.211.0> Running boot step rabbit_exchange_type_fanout defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 17:12:59.295740+00:00 [info] <0.211.0> Running boot step rabbit_exchange_type_headers defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 17:12:59.295770+00:00 [info] <0.211.0> Running boot step rabbit_exchange_type_local_random defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 17:12:59.295801+00:00 [info] <0.211.0> Running boot step rabbit_exchange_type_modulus_hash defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 17:12:59.295820+00:00 [info] <0.211.0> Running boot step rabbit_exchange_type_topic defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 17:12:59.295842+00:00 [info] <0.211.0> Running boot step rabbit_priority_queue defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 17:12:59.295881+00:00 [info] <0.211.0> Priority queues enabled, real BQ is rabbit_variable_queue[0m
rabbitmq-3-1  | 2026-08-30 17:12:59.295932+00:00 [info] <0.211.0> Running boot step kernel_ready defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 17:12:59.295944+00:00 [info] <0.211.0> Running boot step pg_local_amqp_connection defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 17:12:59.300874+00:00 [info] <0.211.0> Running boot step pg_local_amqp_session defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 17:12:59.301017+00:00 [info] <0.211.0> Running boot step rabbit_sysmon_minder defined by app rabbit[0m
rabbitmq-3-1  | 2026-08-30 17:12:59.301178+00:00 [info] <0.211.0> Running boot step rabbit_epmd_monitor defined by app rabbit[0m
