rabbitmq-1-1  |   Doc guides:  https://www.rabbitmq.com/docs
rabbitmq-1-1  |   Support:     https://www.rabbitmq.com/docs/contact
rabbitmq-1-1  |   Tutorials:   https://www.rabbitmq.com/tutorials
rabbitmq-1-1  |   Monitoring:  https://www.rabbitmq.com/docs/monitoring
rabbitmq-1-1  |   Upgrading:   https://www.rabbitmq.com/docs/upgrade
rabbitmq-1-1  |
rabbitmq-1-1  |   Logs: <stdout>
rabbitmq-1-1  |
rabbitmq-1-1  |   Config file(s): /etc/rabbitmq/rabbitmq.conf
rabbitmq-1-1  |                   /etc/rabbitmq/conf.d/10-defaults.conf
rabbitmq-1-1  |
rabbitmq-1-1  |   Starting broker...2026-08-30 14:26:01.589477+00:00 [info] <0.215.0> [0m
rabbitmq-1-1  | 2026-08-30 14:26:01.589477+00:00 [info] <0.215.0>  node           : rabbit@rabbitmq-1[0m
rabbitmq-1-1  | 2026-08-30 14:26:01.589477+00:00 [info] <0.215.0>  home dir       : /var/lib/rabbitmq[0m
rabbitmq-1-1  | 2026-08-30 14:26:01.589477+00:00 [info] <0.215.0>  config file(s) : /etc/rabbitmq/rabbitmq.conf[0m
rabbitmq-1-1  | 2026-08-30 14:26:01.589477+00:00 [info] <0.215.0>                 : /etc/rabbitmq/conf.d/10-defaults.conf[0m
rabbitmq-1-1  | 2026-08-30 14:26:01.589477+00:00 [info] <0.215.0>  log(s)         : <stdout>[0m
rabbitmq-1-1  | 2026-08-30 14:26:01.589477+00:00 [info] <0.215.0>  data dir       : /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1[0m
rabbitmq-1-1  | 2026-08-30 14:26:01.849776+00:00 [info] <0.215.0> Running boot step pre_boot defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:01.849906+00:00 [info] <0.215.0> Running boot step rabbit_global_counters defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:01.850654+00:00 [info] <0.215.0> Running boot step rabbit_osiris_metrics defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:01.850795+00:00 [info] <0.215.0> Running boot step rabbit_core_metrics defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:01.852626+00:00 [info] <0.215.0> Running boot step worker_pool defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:01.852734+00:00 [info] <0.560.0> Will use 12 processes for default worker pool[0m
rabbitmq-1-1  | 2026-08-30 14:26:01.852789+00:00 [info] <0.560.0> Starting worker pool 'worker_pool' with 12 processes in it[0m
rabbitmq-1-1  | 2026-08-30 14:26:01.865706+00:00 [info] <0.215.0> Running boot step rabbit_registry defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:01.865950+00:00 [info] <0.215.0> Running boot step database defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:01.906544+00:00 [info] <0.215.0> Peer discovery: configured backend: rabbit_peer_discovery_classic_config[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:26:01.910997+00:00 [notice] <0.215.0> Found the following metadata store members: [{rabbitmq_metadata,[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:26:01.910997+00:00 [notice] <0.215.0>                                               'rabbit@rabbitmq-1'},[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:26:01.910997+00:00 [notice] <0.215.0>                                              {rabbitmq_metadata,[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:26:01.910997+00:00 [notice] <0.215.0>                                               'rabbit@rabbitmq-2'},[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:26:01.910997+00:00 [notice] <0.215.0>                                              {rabbitmq_metadata,[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:26:01.910997+00:00 [notice] <0.215.0>                                               'rabbit@rabbitmq-3'}][0m
rabbitmq-1-1  | 2026-08-30 14:26:02.369968+00:00 [info] <0.215.0> Running boot step tracking_metadata_store defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.370330+00:00 [info] <0.753.0> Setting up a table for connection tracking on this node: tracked_connection[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.370405+00:00 [info] <0.753.0> Setting up a table for per-vhost connection counting on this node: tracked_connection_per_vhost[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.370468+00:00 [info] <0.753.0> Setting up a table for per-user connection counting on this node: tracked_connection_per_user[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.370519+00:00 [info] <0.753.0> Setting up a table for channel tracking on this node: tracked_channel[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.370549+00:00 [info] <0.753.0> Setting up a table for channel tracking on this node: tracked_channel_per_user[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.370588+00:00 [info] <0.215.0> Running boot step networking_metadata_store defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.370653+00:00 [info] <0.215.0> Running boot step feature_flags defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.370849+00:00 [info] <0.215.0> Running boot step rabbit_alarm defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.386008+00:00 [info] <0.758.0> Memory high watermark set to 4760 MiB (4991542886 bytes) of 7933 MiB (8319238144 bytes) total[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.389382+00:00 [info] <0.760.0> Enabling free disk space monitoring (disk free space: 379851325440, total memory: 8319238144)[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.389459+00:00 [info] <0.760.0> Disk free limit set to 50MB[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.391014+00:00 [info] <0.215.0> Running boot step auth_backend_plugins_check defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.391073+00:00 [info] <0.215.0> Running boot step codec_correctness_check defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.391100+00:00 [info] <0.215.0> Running boot step external_infrastructure defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.391120+00:00 [info] <0.215.0> Running boot step rabbit_event defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.391212+00:00 [info] <0.215.0> Running boot step rabbit_auth_mechanism_amqplain defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.391272+00:00 [info] <0.215.0> Running boot step rabbit_auth_mechanism_anonymous defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.391292+00:00 [info] <0.215.0> Running boot step rabbit_auth_mechanism_cr_demo defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.391316+00:00 [info] <0.215.0> Running boot step rabbit_auth_mechanism_plain defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.391331+00:00 [info] <0.215.0> Running boot step rabbit_exchange_type_direct defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.391363+00:00 [info] <0.215.0> Running boot step rabbit_exchange_type_fanout defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.391385+00:00 [info] <0.215.0> Running boot step rabbit_exchange_type_headers defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.391405+00:00 [info] <0.215.0> Running boot step rabbit_exchange_type_local_random defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.391430+00:00 [info] <0.215.0> Running boot step rabbit_exchange_type_modulus_hash defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.391452+00:00 [info] <0.215.0> Running boot step rabbit_exchange_type_topic defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.391505+00:00 [info] <0.215.0> Running boot step rabbit_priority_queue defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.391600+00:00 [info] <0.215.0> Priority queues enabled, real BQ is rabbit_variable_queue[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.391742+00:00 [info] <0.215.0> Running boot step kernel_ready defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.391771+00:00 [info] <0.215.0> Running boot step pg_local_amqp_connection defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.400147+00:00 [info] <0.215.0> Running boot step pg_local_amqp_session defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.400313+00:00 [info] <0.215.0> Running boot step rabbit_sysmon_minder defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.400401+00:00 [info] <0.215.0> Running boot step rabbit_epmd_monitor defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.401856+00:00 [info] <0.768.0> epmd monitor knows us, inter-node communication (distribution) port: 25672[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.401953+00:00 [info] <0.215.0> Running boot step guid_generator defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.404296+00:00 [info] <0.215.0> Running boot step rabbit_node_monitor defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.404442+00:00 [info] <0.772.0> Starting rabbit_node_monitor[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.404550+00:00 [info] <0.215.0> Running boot step delegate_sup defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.404943+00:00 [info] <0.215.0> Running boot step rabbit_chaos defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.405029+00:00 [info] <0.215.0> Running boot step rabbit_fifo_dlx_sup defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.405076+00:00 [info] <0.215.0> Running boot step core_initialized defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.405135+00:00 [info] <0.215.0> Running boot step rabbit_channel_tracking_handler defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.405251+00:00 [info] <0.215.0> Running boot step rabbit_classic_queue_type defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.405373+00:00 [info] <0.215.0> Running boot step rabbit_classic_queue defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.405482+00:00 [info] <0.215.0> Running boot step rabbit_connection_tracking_handler defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.405626+00:00 [info] <0.215.0> Running boot step rabbit_definitions_hashing defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.405695+00:00 [info] <0.215.0> Running boot step rabbit_exchange_parameters defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.407360+00:00 [info] <0.215.0> Running boot step rabbit_policies defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.407537+00:00 [info] <0.215.0> Running boot step rabbit_quorum_queue_type defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.407594+00:00 [info] <0.215.0> Running boot step rabbit_stream_queue defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.407630+00:00 [info] <0.215.0> Running boot step rabbit_policy defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.407681+00:00 [info] <0.215.0> Running boot step rabbit_quorum_event_subscriber defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.407783+00:00 [info] <0.215.0> Running boot step rabbit_quorum_queue defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.408005+00:00 [info] <0.215.0> Running boot step quorum_memory_alarm_handler defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.408082+00:00 [info] <0.215.0> Running boot step rabbit_stream_coordinator defined by app rabbit[0m
rabbitmq-1-1  | 2026-08-30 14:26:02.410065+00:00 [info] <0.215.0> Running boot step rabbit_vhost_limit defined by app rabbit[0m
