rabbitmq-3-1  | [38;5;214m2026-08-30 13:54:28.295438+00:00 [warning] <0.1045.0> client unexpectedly closed TCP connection[0m
rabbitmq-3-1  | 2026-08-30 13:54:32.619983+00:00 [info] <0.1257.0> rabbit_stomp: default user 'guest' enabled[0m
rabbitmq-3-1  | 2026-08-30 13:54:32.620857+00:00 [info] <0.1276.0> started STOMP TCP listener on [::]:61613[0m
rabbitmq-3-1  | 2026-08-30 13:54:32.622727+00:00 [info] <0.1298.0> started Stream TCP listener on [::]:5552[0m
rabbitmq-3-1  | 2026-08-30 13:54:32.624290+00:00 [info] <0.1304.0> Starting MQTT retained message store rabbit_mqtt_retained_msg_store_dets for vhost '/'[0m
rabbitmq-3-1  | 2026-08-30 13:54:32.624662+00:00 [info] <0.1304.0> Recovered MQTT retained message store rabbit_mqtt_retained_msg_store_dets for vhost '/'[0m
rabbitmq-3-1  | 2026-08-30 13:54:32.624954+00:00 [info] <0.1324.0> started MQTT TCP listener on [::]:1883[0m
rabbitmq-3-1  | 2026-08-30 13:54:32.625211+00:00 [info] <0.1200.0> Plugins changed; enabled [rabbitmq_stream_common,rabbitmq_stomp,[0m
rabbitmq-3-1  | 2026-08-30 13:54:32.625211+00:00 [info] <0.1200.0>                           rabbitmq_stream,rabbitmq_mqtt][0m
rabbitmq-3-1  | 2026-08-30 13:54:41.532638+00:00 [info] <0.1443.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 13:54:41.533120+00:00 [info] <0.1443.0> Accepted MQTT connection 192.168.80.2:53680 -> 192.168.80.4:1883 for client ID sub-qos1-rabbitmq-3-1883[0m
rabbitmq-3-1  | 2026-08-30 13:54:41.546219+00:00 [info] <0.1450.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 13:54:41.546712+00:00 [info] <0.1450.0> Accepted MQTT connection 192.168.80.2:53686 -> 192.168.80.4:1883 for client ID pub-qos1-rabbitmq-3-1883[0m
rabbitmq-3-1  | 2026-08-30 13:54:41.547445+00:00 [info] <0.1450.0> MQTT connection <<"192.168.80.2:53686 -> 192.168.80.4:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-3-1  | 2026-08-30 13:54:41.547570+00:00 [info] <0.1443.0> MQTT connection <<"192.168.80.2:53680 -> 192.168.80.4:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-3-1  | 2026-08-30 13:54:41.593152+00:00 [info] <0.1459.0> accepting STOMP connection <0.1459.0> (192.168.80.2:55316 -> 192.168.80.4:61613)[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 13:54:41.595828+00:00 [warning] <0.1459.0> AMQP 0-9-1 client call timeout was 70000 ms, is updated to a safe effective value of 130000 ms[0m
rabbitmq-3-1  | 2026-08-30 13:54:41.600269+00:00 [info] <0.1463.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 13:54:41.609467+00:00 [info] <0.1459.0> closing STOMP connection <0.1459.0> (192.168.80.2:55316 -> 192.168.80.4:61613)[0m
rabbitmq-3-1  | 2026-08-30 13:54:41.619814+00:00 [info] <0.1488.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 13:54:41.620709+00:00 [info] <0.1488.0> Accepted MQTT connection 192.168.80.2:53694 -> 192.168.80.4:1883 for client ID sub-qos0-rabbitmq-3-1883[0m
rabbitmq-3-1  | 2026-08-30 13:54:41.623732+00:00 [info] <0.1491.0> User 'atlas' authenticated successfully[0m
